name,online_order,book_table,rate,votes,location,cuisines,cost_for_two,normalized_rating
jalsa,yes,yes,4.1,775,banashankari,"north indian, mughlai, chinese",800,4.015366091294398
spice elephant,yes,no,4.1,787,banashankari,"chinese, north indian, thai",800,4.016103106464549
san churro cafe,yes,no,3.8,918,banashankari,"cafe, mexican, italian",800,3.840881431880814
addhuri udupi bhojana,no,no,3.7,88,banashankari,"south indian, north indian",300,3.877894080571648
grand village,no,no,3.8,166,basavanagudi,"north indian, rajasthani",600,3.881492841093988
timepass dinner,yes,no,3.8,286,basavanagudi,north indian,600,3.8703421672840923
onesta,yes,yes,4.6,2556,banashankari,"pizza, cafe, italian",600,4.469364499748378
penthouse cafe,yes,no,4.0,324,banashankari,"cafe, italian, continental",700,3.9382405253640966
smacznego,yes,no,4.2,504,banashankari,"cafe, mexican, italian, momos, beverages",550,4.040447562290547
cafãâãâãâãâãâãâãâãâ© down the alley,yes,no,4.1,402,banashankari,cafe,500,3.9835751064533227
cafe shuffle,yes,yes,4.2,150,banashankari,"cafe, italian, continental",600,3.9642241305103223
the coffee shack,yes,yes,4.2,164,banashankari,"cafe, chinese, continental, italian",500,3.968596133388277
caf-eleven,no,no,4.0,424,banashankari,"cafe, continental",450,3.944325202668127
cafe vivacity,yes,no,3.8,90,banashankari,cafe,650,3.89058749002665
catch-up-ino,yes,no,3.9,133,banashankari,"cafe, fast food, continental, chinese, momos",800,3.9035774595416424
kirthi's biryani,yes,no,3.8,144,banashankari,"chinese, cafe, italian",700,3.8839320825961208
t3h cafe,no,no,3.9,93,banashankari,"cafe, italian, american",300,3.903786667701972
the vintage cafe,yes,no,3.0,62,banashankari,"cafe, french, north indian",400,3.818514671834837
woodee pizza,yes,no,3.7,180,banashankari,"cafe, pizza, fast food, beverages",500,3.856666771346497
my tea house,yes,no,3.6,62,banashankari,"italian, fast food, cafe, european",600,3.875482512569906
srinathji's cafe,no,no,3.8,148,basavanagudi,"north indian, cafe, chinese, fast food",550,3.883477781743097
redberrys,yes,no,4.0,219,basavanagudi,"cafe, italian",600,3.9302346675409248
foodiction,yes,no,2.8,506,banashankari,"north indian, fast food, chinese, burger",500,3.3949772841459884
ovenstory pizza,yes,no,3.9,172,banashankari,pizza,750,3.9033946011902345
faasos,yes,no,4.2,415,banashankari,"north indian, biryani, fast food",500,4.026332088179075
behrouz biryani,yes,no,3.9,230,banashankari,biryani,650,3.903154787707855
szechuan dragon,yes,no,4.2,1647,banashankari,"chinese, thai, momos",600,4.121934799244034
empire restaurant,yes,no,4.4,4884,jayanagar,"north indian, mughlai, south indian, chinese",750,4.346500471362219
chaatimes,yes,no,3.8,133,basavanagudi,"street food, fast food",200,3.885207293795786
mcdonald's,yes,no,3.9,286,banashankari,"burger, fast food",500,3.902953341742473
domino's pizza,yes,no,3.9,540,banashankari,"pizza, fast food",800,3.9022900802017233
hotboxit,no,no,3.8,36,banashankari,"north indian, continental, italian",400,3.898389283426075
kitchen garden,yes,no,3.6,244,kumaraswamy layout,"north indian, chinese",300,3.8154372224049693
recipe,yes,no,4.0,804,kumaraswamy layout,"north indian, chinese, biryani, rolls",450,3.959491097281827
beijing bites,yes,no,3.7,679,rajarajeshwari nagar,"chinese, thai",850,3.7951102997701964
tasty bytes,yes,no,3.1,245,kumaraswamy layout,"north indian, chinese, momos, rolls",300,3.6686484218996998
corner house ice cream,no,no,4.3,345,banashankari,"ice cream, desserts",400,4.0502030776796465
biryanis and more,yes,no,4.0,618,jayanagar,"biryani, north indian, chinese, andhra, south indian",750,3.9532589584021087
roving feast,no,no,4.0,1047,banashankari,"italian, continental, fast food, chinese, momos",450,3.9655006597729843
freshmenu,yes,no,3.9,627,banashankari,"healthy food, chinese, biryani, north indian, continental, salad, american, burger",450,3.902126503044457
wamama,yes,yes,4.2,354,banashankari,"asian, korean, indonesian, japanese, chinese, thai, momos",800,4.015121778527142
peppy peppers,no,no,4.2,244,banashankari,"italian, north indian, mexican",800,3.9907665637223344
goa 0 km,yes,yes,3.6,163,kumaraswamy layout,"goan, seafood, north indian, chinese, biryani",800,3.8385810088967496
1947,no,yes,4.0,808,banashankari,"north indian, chinese",850,3.9596069197342025
kabab magic,yes,no,4.1,1720,basavanagudi,"north indian, kebab, chinese, fast food",400,4.049974072136802
